AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:02:47.345 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 8010510467631955947
2019-12-24 12:02:47.513 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -6497865954566761233
2019-12-24 12:02:47.665 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 3, error: 0, snapshot: 0, requestID: 1781953564420906718
2019-12-24 12:02:47.827 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: 1615413970078037522
2019-12-24 12:02:48.004 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -114020307695969353
2019-12-24 12:02:48.181 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: 8697035615038759376
2019-12-24 12:02:48.362 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -8775953776946016384
2019-12-24 12:02:48.604 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: -6524233279652676913
2019-12-24 12:02:48.783 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: -5066382793881369194
2019-12-24 12:02:48.938 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 1921936427401092568
2019-12-24 12:02:49.117 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 3003569764948476490
2019-12-24 12:02:49.232 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -6555640612431557031
2019-12-24 12:02:49.399 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -2521612471879484586
2019-12-24 12:02:49.572 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 5, error: 0, snapshot: 0, requestID: -5165403053532843901
2019-12-24 12:02:49.730 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 4, error: 0, snapshot: 0, requestID: 6226357685729781210
2019-12-24 12:02:49.892 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 4, error: 0, snapshot: 0, requestID: -1473619407377854832
2019-12-24 12:02:50.044 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 3, error: 0, snapshot: 0, requestID: 8230226984502787013
2019-12-24 12:02:50.212 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: -5835739741022394487
2019-12-24 12:02:50.396 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: -6974594114351257369
2019-12-24 12:02:50.550 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: -6693034614957633816
2019-12-24 12:02:50.728 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 8454970262717743451
2019-12-24 12:02:50.909 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 6917103560440061796
2019-12-24 12:02:51.070 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -3753735281004375949
2019-12-24 12:02:51.253 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 2, error: 0, snapshot: 0, requestID: 860532344653422308
2019-12-24 12:02:51.414 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: -484568068776104409
2019-12-24 12:02:51.603 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: -7042405135028583456
2019-12-24 12:02:51.778 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 2005937631870048585
2019-12-24 12:02:51.968 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 0, error: 0, snapshot: 0, requestID: -3786280129251578851
2019-12-24 12:02:52.152 UTC INFO  proc1 944 [config.ConfigChannel] sending config request with version 1577188912437
2019-12-24 12:02:52.153 UTC INFO  proc1 944 [config.ZMQConfigTransport] received config response for request ID -8935203748189311900
2019-12-24 12:02:52.156 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 8514004878093038764
2019-12-24 12:02:52.345 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 3676524457717449711
2019-12-24 12:02:52.542 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 3, error: 0, snapshot: 0, requestID: -7770755063100812359
2019-12-24 12:02:52.719 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -2409877968683880582
2019-12-24 12:02:52.910 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 7599253290138227543
2019-12-24 12:02:53.078 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 8734237882993173685
2019-12-24 12:02:53.261 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -2744561615266183698
2019-12-24 12:02:53.431 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 578423489178275705
2019-12-24 12:02:53.613 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 5155283786158164746
2019-12-24 12:02:53.794 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 520985680003951022
2019-12-24 12:02:53.977 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -48749040523885232
